filename,width,height,class,xmin,ymin,xmax,ymax
00142d3a-eac90b2d-photo_1721-03-2023_10-54-36.jpg,640,640,Phone number,186,321,377,351
002cdf6b-098855fe-20230324_090918.jpg,640,640,Phone number,251,203,512,306
006e3a01-48275727-photo_15221-03-2023_10-27-10.jpg,640,640,Phone number,180,60,280,182
01241d6c-53166297-PXL_20230325_115048159.jpg,640,640,Phone number,101,317,487,384
013a033e-e7ea1b70-photo_9719-03-2023_16-25-24.jpg,640,640,Phone number,231,324,405,368
013dae69-8164e1cf-PXL_20230325_061718783.jpg,640,640,Phone number,209,284,508,361
016e35dc-aa39fb64-photo_4421-03-2023_10-54-40.jpg,640,640,Phone number,60,182,289,221
0230588a-d6d1dd83-PXL_20230325_121804514.jpg,640,640,Phone number,105,293,613,365
0272a542-photo_5827-03-2023_11-13-46.jpg,640,640,Phone number,227,0,285,182
02e67f70-b161472c-PXL_20230325_060756694.jpg,640,640,Phone number,235,228,372,262
02fd0109-d1ee5cc5-photo_18621-03-2023_10-27-42.jpg,640,640,Phone number,169,130,500,234
0321d397-bd02776d-20230324_092319.jpg,640,640,Phone number,269,382,603,454
0420b116-d81f370b-20230324_092030.jpg,640,640,Phone number,78,298,303,357
05408d64-a5845ee8-PXL_20230325_122005340.jpg,640,640,Phone number,162,291,497,365
056b241b-d9f8ae28-photo_6119-03-2023_16-25-02.jpg,640,640,Phone number,93,298,378,436
0622039e-c213339d-20230319_141824.jpg,640,640,Phone number,251,294,368,322
06ceba8b-photo_2827-03-2023_11-13-05.jpg,640,640,Phone number,148,304,496,351
079e2ffa-a5c02dab-PXL_20230325_121739098.jpg,640,640,Phone number,68,163,312,401
085834df-ab414489-photo_3321-03-2023_10-54-38.jpg,640,640,Phone number,170,278,488,371
08e7bf27-a96ef34b-photo_8819-03-2023_16-25-24.jpg,640,640,Phone number,130,146,235,363
09972d32-photo_7327-03-2023_11-13-46.jpg,640,640,Phone number,312,339,536,407
099adba2-ed5ceb98-20230324_090914.jpg,640,640,Phone number,240,277,484,313
0a911ee2-139865aa-PXL_20230325_121959411.jpg,640,640,Phone number,124,213,452,298
0b74abe5-babb0b1e-PXL_20230325_062228854.jpg,640,640,Phone number,114,267,358,322
0b83fafc-photo_2527-03-2023_11-13-05.jpg,640,640,Phone number,295,155,411,379
0bd3173a-photo_12127-03-2023_11-14-05.jpg,640,640,Phone number,116,293,436,331
0c888c05-c1114049-20230324_092026.jpg,640,640,Phone number,227,310,438,343
0cdf17a1-7469cb60-PXL_20230325_062108644.jpg,640,640,Phone number,269,181,459,277
0e4d989b-c41451e5-WhatsApp_Image_2023-03-25_at_21.43.24.jpeg,640,640,Phone number,154,482,464,562
